paper_id,title,doi,pmid,pmcid,year,journal,authors,source_database,discovery_route,discovery_query,review_seed_doi,is_review,full_text_available,processing_status,notes
P00027fe85d3d,Novel fast pathogen diagnosis method for severe pneumonia patients in the intensive care unit: randomized clinical trial,,,,,,,europe_pmc_table_reference,review_reference,table extraction: CRISPR-Cas9-mediated therapeutics: Current clinical trials and therapy / Table 1,10.1016/j.omtn.2026.102859,False,False,discovered,From table 'Table 1' (Current clinical trial landscape using therapeutic CRISPR-Cas9 for the treatment); organism_guess=n/a || From table 'Table 1' (Current clinical trial landscape using therapeutic CRISPR-Cas9 for the treatment); organism_guess=n/a || From table 'Table 1' (Current clinical trial landscape using therapeutic CRISPR-Cas9 for the treatment); organism_guess=n/a || From table 'Table 1' (Current clinical trial landscape using therapeutic CRISPR-Cas9 for the treatment); organism_guess=n/a
P003f0cd91324,Fine-tuning the expression of pathway gene in yeast using a regulatory library formed by fusing a synthetic minimal promoter with different kozak variants,10.1186/s12934-021-01641-z,34320991,,,,,europe_pmc_table_reference,review_reference,table extraction: Engineering genetic elements for microbial protein expression systems: / Table 2b,10.1016/j.synbio.2025.10.008,False,False,discovered,From table 'Table 2b' (Other regulatory elements engineering strategies in microbial protein expression); organism_guess=S. cerevisiae || From table 'Table 2b' (Other regulatory elements engineering strategies in microbial protein expression); organism_guess=S. cerevisiae || From table 'Table 2b' (Other regulatory elements engineering strategies in microbial protein expression); organism_guess=S. cerevisiae || From table 'Table 2b' (Other regulatory elements engineering strategies in microbial protein expression); organism_guess=S. cerevisiae
P009883bac69b,"[untitled reference, doi=10.1186/s41110-016-0007-9]",10.1186/s41110-016-0007-9,,,,,AUTHOR UNKNOWN,europe_pmc_references,review_reference,references of P2bf8428887ba (Being a better version of yourself: genetically engineered probiotic bacteria as),10.1080/19490976.2025.2519696,False,False,discovered,
P00cb80d8c088,Carbon mineralization and geological storage of CO2 in basalt: Mechanisms and technical challenges,10.1016/j.earscirev.2022.104036,,,,,,europe_pmc_table_reference,review_reference,"table extraction: Microbial processes in geological carbon sequestration: Mechanisms, me / Table 1",10.1016/j.isci.2026.115792,False,False,discovered,From table 'Table 1' (Comparison of different types of GCS reservoirs); organism_guess=n/a || From table 'Table 1' (Comparison of different types of GCS reservoirs); organism_guess=n/a || From table 'Table 1' (Comparison of different types of GCS reservoirs); organism_guess=n/a || From table 'Table 1' (Comparison of different types of GCS reservoirs); organism_guess=n/a
P01057f40f3b2,Outer membrane vesicles displaying engineered glycotopes elicit protective antibodies,10.1073/pnas.1518311113,27274048,,,,,europe_pmc_table_reference,review_reference,table extraction: Engineering Bacterial Extracellular Vesicles as Nanoweapons to Fight a / Table 4.,10.34133/research.1135,False,False,discovered,From table 'Table 4.' (Engineered BEVs exploited for the bacterial infection treatment: their anti-infe); organism_guess=E. coli || From table 'Table 4.' (Engineered BEVs exploited for the bacterial infection treatment: their anti-infe); organism_guess=E. coli || From table 'Table 4.' (Engineered BEVs exploited for the bacterial infection treatment: their anti-infe); organism_guess=E. coli || From table 'Table 4.' (Engineered BEVs exploited for the bacterial infection treatment: their anti-infe); organism_guess=E. coli
P012cb8bd2ffb,An 11-year-old male with X-linked Agammaglobulinemia and persistent abdominal pain,10.1097/INF.0000000000003056,33710980,,,,,europe_pmc_table_reference,review_reference,table extraction: Helicobacter cinaedi bacterium association with atherosclerosis and ot / Table 1,10.3389/fmicb.2024.1371717,False,False,discovered,From table 'Table 1' (Published examples of diseases associated with Helicobacter cinaedi.); organism_guess=n/a || From table 'Table 1' (Published examples of diseases associated with Helicobacter cinaedi.); organism_guess=n/a || From table 'Table 1' (Published examples of diseases associated with Helicobacter cinaedi.); organism_guess=n/a || From table 'Table 1' (Published examples of diseases associated with Helicobacter cinaedi.); organism_guess=n/a
P018376861d30,Molecular Toolkit for Gene Expression Control and Genome Modification in Rhodococcus Opacus PD630,10.1021/acssynbio.7b00416,29366319,,,,,europe_pmc_table_reference,review_reference,table extraction: CRISPR-Based Approaches for Gene Regulation in Non-Model Bacteria / TABLE 1,10.3389/fgeed.2022.892304,False,False,discovered,From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Rhodococcus opacus || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Rhodococcus opacus || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Rhodococcus opacus || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Rhodococcus opacus || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Rhodococcus opacus || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Rhodococcus opacus || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Rhodococcus opacus || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Rhodococcus opacus
P01b7ddee4213,"[untitled reference, doi=10.1039/C9GC03950C]",10.1039/C9GC03950C,,,,,AUTHOR UNKNOWN,europe_pmc_references,review_reference,references of P839212134331 (Broad-Host-Range Synthetic Biology: Rethinking Microbial Chassis as a Design Var),10.1021/acssynbio.5c00308,False,False,discovered,
P01cb888f2da5,Novel prokaryotic CRISPR-Cas12a-based tool for programmable transcriptional activation and repression,10.1021/acssynbio.0c00424,33238093,,,,,europe_pmc_table_reference,review_reference,table extraction: Recent advances of Cas12a applications in bacteria / Table 2 || table extraction: CRISPR-Based Approaches for Gene Regulation in Non-Model Bacteria / TABLE 1,10.1007/s00253-021-11243-9; 10.3389/fgeed.2022.892304,False,False,discovered,From table 'Table 2' (Overview of Cas12a applications for gene editing and regulation in bacteria); organism_guess=Paenibacillus polymyxa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Paenibacillus polymyxa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Paenibacillus polymyxa || From table 'Table 2' (Overview of Cas12a applications for gene editing and regulation in bacteria); organism_guess=Paenibacillus polymyxa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Paenibacillus polymyxa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Paenibacillus polymyxa || From table 'Table 2' (Overview of Cas12a applications for gene editing and regulation in bacteria); organism_guess=Paenibacillus polymyxa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Paenibacillus polymyxa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Paenibacillus polymyxa || From table 'Table 2' (Overview of Cas12a applications for gene editing and regulation in bacteria); organism_guess=Paenibacillus polymyxa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Paenibacillus polymyxa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Paenibacillus polymyxa
P0222bdb8ead4,Disease Modeling by Efficient Genome Editing Using a Near PAM-Less Base Editor In Vivo,10.1038/s41467-022-31172-z,35701478,,,,,europe_pmc_table_reference,review_reference,table extraction: Advances in Fish Gene Editing / Table 3,Pd914db8e3a16,False,False,discovered,From table 'Table 3' (Summary of Gene Editing Applications for Human Disease Modeling in Fish.); organism_guess=ctnnb1 cbl || From table 'Table 3' (Summary of Gene Editing Applications for Human Disease Modeling in Fish.); organism_guess=ctnnb1 cbl || From table 'Table 3' (Summary of Gene Editing Applications for Human Disease Modeling in Fish.); organism_guess=ctnnb1 cbl || From table 'Table 3' (Summary of Gene Editing Applications for Human Disease Modeling in Fish.); organism_guess=ctnnb1 cbl
